Sample_Name,Target_Name,Stage,CT
CondA_1,RNA_1,CondA,15.26
CondA_2,RNA_1,CondA,18.29
CondA_3,RNA_1,CondA,17.15
CondB_1,RNA_1,CondB,19.97
CondB_2,RNA_1,CondB,18.38
CondB_3,RNA_1,CondB,18.65
CondC_1,RNA_1,CondC,24.21
CondC_2,RNA_1,CondC,24.70
CondC_3,RNA_1,CondC,24.60
CondD_1,RNA_1,CondD,21.13
CondD_2,RNA_1,CondD,21.68
CondD_3,RNA_1,CondD,24.19
CondA_1,RNA_2,CondA,28.95
CondA_2,RNA_2,CondA,23.01
CondA_3,RNA_2,CondA,34.71
CondB_1,RNA_2,CondB,33.95
CondB_2,RNA_2,CondB,25.32
CondB_3,RNA_2,CondB,29.10
CondC_1,RNA_2,CondC,34.88
CondC_2,RNA_2,CondC,33.99
CondC_3,RNA_2,CondC,32.39
CondD_1,RNA_2,CondD,32.90
CondD_2,RNA_2,CondD,29.00
CondD_3,RNA_2,CondD,24.46
CondA_1,RNA_3,CondA,19.86
CondA_2,RNA_3,CondA,18.83
CondA_3,RNA_3,CondA,19.03
CondB_1,RNA_3,CondB,21.70
CondB_2,RNA_3,CondB,18.68
CondB_3,RNA_3,CondB,18.40
CondC_1,RNA_3,CondC,31.48
CondC_2,RNA_3,CondC,29.10
CondC_3,RNA_3,CondC,29.91
CondD_1,RNA_3,CondD,17.83
CondD_2,RNA_3,CondD,19.82
CondD_3,RNA_3,CondD,22.19
CondA_1,RNA_4,CondA,28.71
CondA_2,RNA_4,CondA,26.72
CondA_3,RNA_4,CondA,28.31
CondB_1,RNA_4,CondB,28.71
CondB_2,RNA_4,CondB,29.84
CondB_3,RNA_4,CondB,35.94
CondC_1,RNA_4,CondC,36.23
CondC_2,RNA_4,CondC,33.15
CondC_3,RNA_4,CondC,32.42
CondD_1,RNA_4,CondD,21.87
CondD_2,RNA_4,CondD,24.22
CondD_3,RNA_4,CondD,24.25
CondA_1,RNA_5,CondA,18.09
CondA_2,RNA_5,CondA,21.60
CondA_3,RNA_5,CondA,19.23
CondB_1,RNA_5,CondB,19.79
CondB_2,RNA_5,CondB,19.42
CondB_3,RNA_5,CondB,25.65
CondC_1,RNA_5,CondC,30.81
CondC_2,RNA_5,CondC,28.69
CondC_3,RNA_5,CondC,27.97
CondD_1,RNA_5,CondD,18.08
CondD_2,RNA_5,CondD,20.22
CondD_3,RNA_5,CondD,20.25
CondA_1,RNA_6,CondA,26.02
CondA_2,RNA_6,CondA,24.20
CondA_3,RNA_6,CondA,23.67
CondB_1,RNA_6,CondB,24.84
CondB_2,RNA_6,CondB,22.32
CondB_3,RNA_6,CondB,27.70
CondC_1,RNA_6,CondC,31.52
CondC_2,RNA_6,CondC,28.54
CondC_3,RNA_6,CondC,28.85
CondD_1,RNA_6,CondD,19.04
CondD_2,RNA_6,CondD,19.65
CondD_3,RNA_6,CondD,20.04
